stride, size, friendly, unfriendly
 6,    16384,    25977,      27367
 6,    16384,    25995,      27378
 6,    32768,    51908,      54639
 6,    32768,    51913,      54482
 6,    32768,    51918,      54476
 6,    32768,    51910,      54474
 6,    32768,    51927,      54474
 6,    65536,   103808,     109156
 6,    65536,   103797,     109025
 6,    65536,   103824,     108999
 6,    65536,   103810,     109159
 6,    65536,   103812,     108975
 6,   131072,   207548,     218294
 6,   131072,   207571,     218024
 6,   131072,   212759,     218287
 6,   131072,   207586,     218194
 6,   131072,   207562,     218290
 6,   262144,   415030,     437943
 6,   262144,   415013,     464895
 6,   262144,   415032,     438164
 6,   262144,   415050,     438047
 6,   262144,   415039,     438586
 6,   524288,   830032,     876093
 6,   524288,   830027,     882217
 6,   524288,   830032,     876075
 6,   524288,   841536,     876431
 6,   524288,   830035,     882612
 6,  1048576,  1671118,    1793615
 6,  1048576,  1688613,    1786236
 6,  1048576,  1769951,    1771538
 6,  1048576,  1666274,    1801653
 6,  1048576,  1666507,    1804291
 6,  2097152,  3405085,    4998926
 6,  2097152,  3416904,    5029035
 6,  2097152,  3451418,    5046325
 6,  2097152,  3427220,    5030729
 6,  2097152,  3426345,    5147471
 6,  4194304,  6811913,   12895012
 6,  4194304,  6832226,   14684902
 6,  4194304,  6835155,   12970550
 6,  4194304,  6826225,   11862084
 6,  4194304,  6851168,   14713750
 6,  8388608, 13635408,   24565596
 6,  8388608, 13643189,   24578921
 6,  8388608, 13635099,   25659064
 6,  8388608, 13662966,   24195602
 6,  8388608, 13622384,   23571676
 6, 16777216, 27241728,   54695880
 6, 16777216, 27284313,   56831953
 6, 16777216, 27262650,   54727166
 6, 16777216, 27280676,   55098131
 6, 16777216, 27296109,   54455220
 6, 33554432, 54700559,  114655919
 6, 33554432, 54561050,  128070883
 6, 33554432, 54540658,  113099586
 6, 33554432, 54598526,  114053378
 6, 33554432, 54575143,  113915883
 7,     4096,     6561,       6968
 7,     4096,     6532,       6960
 7,     4096,     6525,       6961
 7,     4096,     6545,       6962
 7,     4096,     6524,       6956
 7,     8192,    13017,      13827
 7,     8192,    13007,      13829
 7,     8192,    13033,      13827
 7,     8192,    13007,      13828
 7,     8192,    13015,      13828
 7,    16384,    25974,      27571
 7,    16384,    25995,      27569
 7,    16384,    25977,      27554
 7,    16384,    25985,      27569
 7,    16384,    25975,      27552
 7,    32768,    51956,      54980
 7,    32768,    51908,      54927
 7,    32768,    51918,      54962
 7,    32768,    51961,      55037
 7,    32768,    51910,      54924
 7,    65536,   103802,     109828
 7,    65536,   103806,     109809
 7,    65536,   103809,     109799
 7,    65536,   103791,     109774
 7,    65536,   103812,     109817
 7,   131072,   238516,     220521
 7,   131072,   207556,     220331
 7,   131072,   207565,     220455
 7,   131072,   207584,     220451
 7,   131072,   207567,     220371
 7,   262144,   415050,     449326
 7,   262144,   415030,     443877
 7,   262144,   415044,     443309
 7,   262144,   415043,     443207
 7,   262144,   415083,     443792
 7,   524288,   830543,     886971
 7,   524288,   843068,     887042
 7,   524288,   830050,     892635
 7,   524288,   829998,     886866
 7,   524288,   835576,     886611
 7,  1048576,  1695258,    1821553
 7,  1048576,  1680056,    1814596
 7,  1048576,  1666587,    1826564
 7,  1048576,  1665059,    1827232
 7,  1048576,  1679486,    1797758
 7,  2097152,  3412141,    5677543
 7,  2097152,  3406308,    5757632
 7,  2097152,  3409793,    5829425
 7,  2097152,  3403970,    5690592
 7,  2097152,  3404032,    5835508
 7,  4194304,  6827117,   13739522
 7,  4194304,  6805427,   17173646
 7,  4194304,  6804314,   13872608
 7,  4194304,  6830436,   16193807
 7,  4194304,  6805015,   16459880
 7,  8388608, 13637816,   28352851
 7,  8388608, 13630147,   29028129
 7,  8388608, 13633041,   29713200
 7,  8388608, 13677816,   29536929
 7,  8388608, 13664381,   29499138
 7, 16777216, 27274190,   64578391
 7, 16777216, 27325026,   64258624
 7, 16777216, 27302930,   64528677
 7, 16777216, 27261544,   64116315
 7, 16777216, 27257760,   65323883
 7, 33554432, 54567477,  132064875
 7, 33554432, 54672293,  146216621
 7, 33554432, 54616216,  132956615
 7, 33554432, 54564842,  135048532
 7, 33554432, 54540879,  133664555
 8,     4096,     6553,       7026
 8,     4096,     6533,       7017
 8,     4096,     6526,       7017
 8,     4096,     6542,       7015
 8,     4096,     6528,       7018
 8,     8192,    13020,      13932
 8,     8192,    13016,      13930
 8,     8192,    13008,      13932
 8,     8192,    13006,      13932
 8,     8192,    13016,      13932
 8,    16384,    25985,      27795
 8,    16384,    26008,      27799
 8,    16384,    25977,      27802
 8,    16384,    25987,      27799
 8,    16384,    25977,      27802
 8,    32768,    51923,      55538
 8,    32768,    51915,      55609
 8,    32768,    51918,      55593
 8,    32768,    51910,      55593
 8,    32768,    51947,      55594
 8,    65536,   103810,     111202
 8,    65536,   103807,     111085
 8,    65536,   103809,     111169
 8,    65536,   103801,     111130
 8,    65536,   103807,     111229
 8,   131072,   207530,     223052
 8,   131072,   207537,     228943
 8,   131072,   207595,     223191
 8,   131072,   207547,     222989
 8,   131072,   207549,     223041
 8,   262144,   415063,     450429
 8,   262144,   440751,     450062
