 num,  friendly, unfriendly
2092,   7113796,   23228493
2096,   7179874,   19908659
2100,   7188461,   22918401
2104,   7190747,   21890296
2108,   7236088,   22528646
2112,   7267405,   20229996
2116,   7293813,   22348733
2120,   7329289,   22194136
2124,   7367319,   21820707
2128,   7395826,   20848187
2132,   7379368,   23415668
2136,   7447657,   22634537
2140,   7435171,   25537902
2144,   7495249,   21081430
2148,   7531800,   23198475
2152,   7537700,   22614608
2156,   7574839,   22717677
2160,   7615301,   21986016
2164,   7646508,   28402937
2168,   7678348,   22427524
2172,   7657927,   24020096
2176,   7729746,   30673134
2180,   7737885,   24295082
2184,   7766760,   29647833
2188,   7811768,   24564047
2192,   7835652,   22951190
2196,   7861033,   24695954
2200,   7903381,   25902407
2204,   7903345,   24721388
2208,   7909899,   23518302
2212,   7989561,   26236901
2216,   7992160,   24166213
2220,   7993640,   25637466
2224,   8079355,   23412159
2228,   8077494,   25637190
2232,   8125010,   24563343
2236,   8159749,   26163239
2240,   8191926,   24624889
2244,   8216064,   26326860
2248,   8223989,   25542788
2252,   8277863,   26398787
2256,   8300626,   24972554
2260,   8327909,   32314406
2264,   8341682,   28106874
2268,   8387405,   27765365
2272,   8420915,   25775788
2276,   8448063,   28124997
2280,   8453710,   26369501
2284,   8505377,   28449865
2288,   8514470,   26575075
2292,   8549037,   29055481
2296,   8593674,   27413545
2300,   8626658,   29403238
2304,   8649727,   34655565
2308,   8637254,   29579360
2312,   8709308,   28002847
2316,   8738848,   30075724
2320,   8779826,   27101415
2324,   8801578,   34249856
2328,   8814236,   28235272
2332,   8863745,   30439873
2336,   8890950,   28527695
2340,   8923307,   36339539
2344,   8956884,   29347267
2348,   8983829,   30813385
2352,   8991049,   28579424
2356,   9047319,   31124732
2360,   9068218,   30378300
2364,   9130876,   32368121
2368,   9141626,   28721485
2372,   9170234,   32134116
2376,   9189782,   29424898
2380,   9226679,   32543954
2384,   9256376,   29883018
2388,   9272324,   32889932
2392,   9319385,   30346437
2396,   9358804,   33182904
2400,   9386601,   29632064
2404,   9406862,   33452619
2408,   9445966,   30433613
2412,   9470899,   33598455
2416,   9486792,   30164390
2420,   9534236,   34175308
2424,   9569685,   31616771
2428,   9601856,   34906552
2432,   9633220,   39053860
2436,   9658765,   36161474
2440,   9705034,   31843023
2444,   9725770,   35807074
2448,   9755645,   32556581
2452,   9787517,   38829870
2456,   9816488,   33894207
2460,   9859369,   36380428
2464,   9878858,   33596492
2468,   9913552,   35362155
2472,   9956470,   33052148
2476,   9974632,   36228292
2480,  10007524,   33101270
2484,  10039249,   36643695
2488,  10074481,   33754086
2492,  10121187,   37345391
2496,  10140519,   32957612
2500,  10172107,   39378126
2504,  10202146,   34389458
2508,  10231129,   37570324
2512,  10280132,   33851826
2516,  10300570,   38069398
2520,  10335184,   39371342
2524,  10369913,   38826803
2528,  10400439,   34908750
2532,  10431258,   38973782
2536,  10468365,   37103174
2540,  10504527,   39948921
2544,  10528311,   37300300
2548,  10559982,   41234861
2552,  10594157,   39444821
2556,  10628956,   42105835
2560,  10684809,   64301157
2564,  10718891,   42446361
2568,  10725279,   41308979
2572,  10781685,   43814142
2576,  10815742,   41639751
2580,  10825937,   44266769
2584,  10865435,   42762294
2588,  10893393,   45587119
2592,  10932326,   43559404
2596,  10961798,   46799181
2600,  10993436,   45031643
2604,  11067322,   47990541
2608,  11048162,   46350717
2612,  11096167,   49104356
2616,  11149786,   46243147
2620,  11186087,   50255939
2624,  11199158,   47648707
2628,  11232154,   51386009
2632,  11265795,   47649941
2636,  11299267,   50550068
2640,  11373077,   47230605
2644,  11372188,   50966093
2648,  11427387,  132570791
2652,  11468789,   50738250
2656,  11475828,   49475752
2660,  11506879,   51856330
2664,  11547266,   50872823
2668,  11593337,   52911017
2672,  11631510,   48966435
2676,  11663384,   53108184
2680,  11679905,   51311616
2684,  11731458,   53465687
2688,  11749242,   51524293
2692,  11790969,   53437517
2696,  11834968,   51534200
2700,  11870868,   54043014
2704,  11886310,   52647733
2708,  11923499,   54951480
2712,  11958245,   52869933
2716,  12011062,   55643879
2720,  12038903,   53816496
2724,  12059049,   55741922
2728,  12117134,   54133440
2732,  12138734,   55674073
2736,  12207636,   55759802
2740,  12219014,   57084361
2744,  12277656,   56274521
2748,  12276562,   57706035
2752,  12364716,   56140474
2756,  12364550,   57399305
2760,  12391375,   56380103
2764,  12432044,   58631919
2768,  12453925,   56951931
2772,  12529412,   59076113
2776,  12560961,   57144137
2780,  12564760,   59350665
2784,  12609029,   58138552
2788,  12673711,   59627022
2792,  12699801,   57966777
2796,  12852277,   60581104
2800,  12763286,   59222119
2804,  12804032,   61109290
2808,  12830508,   59100933
2812,  12868864,   61764936
2816,  12897552,   57520753
2820,  12941178,   61899131
2824,  12968974,   59991500
2828,  13002455,   62632017
2832,  13050106,   59859610
2836,  13084615,   62727786
2840,  13145125,   59796681
2844,  13176548,   62004422
2848,  13193500,   62408542
2852,  13233378,   64104221
2856,  13292224,   61682979
2860,  13329263,   64680767
2864,  13346763,   63523935
2868,  13400001,   64731314
2872,  13418932,   63299262
2876,  13472758,   65533903
2880,  13489625,   64542831
2884,  13550435,   65919623
2888,  13567237,   63271821
2892,  13647223,   65879542
2896,  13681942,   65490547
2900,  13694349,   54464704
2904,  13907794,   51587390
2908,  13747534,   56408175
2912,  13802705,   52169790
2916,  13862943,   53956108
2920,  13855808,   53023458
2924,  13926526,   55918092
2928,  13947051,   53548499
2932,  14004601,   54887230
2936,  14008224,   54381297
2940,  14048046,   57689060
2944,  14112113,   57175101
2948,  14142781,   57020697
2952,  14255267,   53864707
2956,  14235599,   59316987
2960,  14282034,   54724431
2964,  14321555,   55906363
2968,  14333166,   55392454
2972,  14397741,   59126423
2976,  14397763,   56164648
2980,  14462073,   57924574
2984,  14562493,   56940969
2988,  14547119,   61063131
2992,  14569289,   56788644
2996,  14601282,   58067284
3000,  14660601,   53619777
3004,  14651701,   61855097
3008,  14695403,   57483479
3012,  14736712,   61459738
3016,  14795475,   58045038
3020,  14840083,   59081441
3024,  14899862,   57535685
3028,  14920750,   59788166
3032,  14936733,   58454841
3036,  14966846,   60909143
3040,  15008848,   58825723
3044,  15086196,   62674054
3048,  15091676,   58371644
3052,  15121719,   60357571
3056,  15170223,   55455511
3060,  15230500,   90731322
3064,  15284863,   61002757
3068,  15331448,   64325697
3072,  15356678,  383792498
3076,  15383233,   63749238
3080,  15452286,   61376461
3084,  15427662,  357311121
3088,  15482624,   56952960
3092,  15525533,   64685761
3096,  15580248,   59595769
3100,  15599227,   63434574
3104,  15645772,   62109689
3108,  15730053,   64879532
3112,  15763620,   59325234
3116,  15804817,   64641243
3120,  15841609,   58625061
3124,  15888936,   66995428
3128,  15922505,   63050018
3132,  15960715,   67840117
3136,  15995889,   63740238
3140,  16037524,   67511700
3144,  16094433,   64269476
3148,  16107894,   66544875
3152,  16159487,   65556569
3156,  16218200,   68944936
3160,  16250745,   65770317
3164,  16295744,   67051902
3168,  16331365,   65595762
3172,  16372943,   67439534
3176,  16376642,   65723554
3180,  16419977,   67760090
3184,  16465636,   61883299
3188,  16528837,   69387699
3192,  16559318,   66166617
3196,  16605350,   69169483
3200,  16662862,   68912576
3204,  16706707,   68575400
3208,  16733619,   63659317
3212,  16758693,   69423027
3216,  16820874,   67477298
3220,  16866943,   69855128
3224,  16879023,   67855699
3228,  16947130,   70194910
3232,  16972103,   68512252
3236,  17025282,   71305520
3240,  17058529,   69478360
3244,  17111921,   71006056
3248,  17142380,   69334892
3252,  17199067,   71833000
3256,  17237810,   70185207
3260,  17288885,   74235134
3264,  17327632,   69314852
3268,  17356463,   73200315
3272,  17393571,   69980443
3276,  17456418,   75355128
3280,  17497598,   72217651
3284,  17539738,   74641043
3288,  17576498,   71342007
3292,  17622875,   73501034
3296,  17635649,   70868097
3300,  17709385,   75091732
3304,  17751044,   72002341
3308,  17811670,   76451317
3312,  17838810,   72630348
3316,  17873892,   76543802
3320,  17952040,   70073931
3324,  17983181,   76158763
3328,  18029611,   73700532
3332,  18074668,   75947105
3336,  18076923,   73346489
3340,  18117458,   73540310
3344,  18154605,   69325988
3348,  18220558,   78677909
3352,  18302708,   73616068
3356,  18284503,   78234034
3360,  18352099,   73557339
3364,  18418204,   75100479
3368,  18422362,  150782630
3372,  18479825,   78581362
3376,  18540605,   70863935
3380,  18587000,   79327659
3384,  18637610,   75935746
3388,  18694396,   80358201
3392,  18721506,   75324882
3396,  18762153,   79936016
3400,  18813744,   76525102
3404,  18830993,   79853788
3408,  18883660,   72754046
3412,  18933273,   81065833
3416,  18947844,   75664381
3420,  19008652,   81185640
3424,  19068057,   76504219
3428,  19118972,   80971696
3432,  19143559,   78357271
3436,  19208860,   81849497
3440,  19254179,   78569922
3444,  19265334,   82082189
3448,  19342477,   76437446
3452,  19387640,   83062956
3456,  19410885,   79059048
3460,  19472983,   80658060
3464,  19527267,   79395192
3468,  19549284,   83715655
3472,  19603909,   76130762
3476,  19659934,   84320705
3480,  19698246,   78514259
3484,  19746396,   84011333
